identifier,Number of trading,Number of trading symbol,Number of buy,Number of sell,Trading frequency,Cluster
431,4000,14,2271,1729,36.84689,Cluster 1
691,4173,50,2096,2077,97.67092,Cluster 1
713,4487,29,2638,1849,107.58354,Cluster 1
799,7568,94,4811,2757,54.589966,Cluster 1
806,6408,88,3254,3154,58.415802,Cluster 1
989,8553,50,6105,2448,34.693237,Cluster 1
1787,10797,119,6698,4099,42.642952,Cluster 1
