identifier,Number of trading,Number of trading symbol,Number of buy,Number of sell,Trading frequency
392,41,10,38,3,868.0082481123236
393,419,30,249,170,54.62639071059487
394,4,2,2,2,0.40888888888888886
395,24,6,15,9,282.3558741181658
396,13,4,8,5,590.881066468254
398,52,10,28,24,146.16966714559388
399,23,8,15,8,611.9428327546295
400,263,20,132,131,308.97297128620966
401,3,2,2,1,516.3658333333333
402,339,28,173,166,78.64862941967428
403,6,3,3,3,222.6435648148148
404,11,5,7,4,864.8393981481482
405,110,9,68,42,402.85283889198564
406,47,3,24,23,92.81419973544973
407,101,29,61,40,321.57356801035047
408,325,38,184,141,298.7176549432226
409,304,30,154,150,41.120764346438115
410,2,1,1,1,636.0
411,350,29,172,178,268.791492544436
412,549,16,320,229,333.5278778280257
413,3,1,1,2,2935.9999074074076
414,487,22,280,207,222.32943028922458
416,43,11,22,21,155.26354306958473
418,138,17,70,68,76.8505495701851
419,42,11,23,19,332.8348390151515
420,364,20,277,87,227.57202867443715
422,219,30,198,21,370.6832396342311
423,18,6,9,9,100.93944444444445
424,13,4,10,3,984.3771481481481
425,81,16,36,45,85.74657836612654
426,32,4,28,4,928.7435416666667
427,338,26,170,168,68.9637941961742
428,22,8,11,11,119.07406770833333
429,17,8,9,8,192.91393849206347
431,4000,14,2271,1729,36.8468911426233
432,6,2,3,3,226.97277777777776
433,33,11,32,1,1437.4648063973063
434,83,12,69,14,613.8505956973839
435,21,6,19,2,177.74312037037035
436,69,20,36,33,118.71543939710388
437,88,22,47,41,250.3360193402277
438,22,7,12,10,688.338127362056
439,269,28,146,123,76.79690439987084
440,42,15,23,19,877.4629012345679
441,39,11,27,12,327.6256180188125
442,2,1,1,1,3431.766527777778
443,374,42,209,165,226.89220065699587
444,174,32,81,93,137.6499923146876
446,6,3,4,2,138.43891203703703
447,3,2,2,1,1043.4975
448,266,31,153,113,288.98184390685594
449,3,2,2,1,5039.852083333333
451,76,17,51,25,663.0594083800187
452,38,13,19,19,308.3198628917379
453,77,13,37,40,33.42205956424867
454,28,9,18,10,189.32858076131689
455,98,14,72,26,228.74448448916607
456,4,2,3,1,3096.0866666666666
457,14,5,9,5,1845.1163580246914
458,13,5,11,2,1224.1564660493827
459,278,14,160,118,191.34536476876514
460,12,5,7,5,1891.0466111111114
461,17,6,13,4,1247.4718055555556
462,155,17,77,78,550.121583644569
463,39,11,20,19,82.59669865319866
464,167,10,84,83,60.66948339895821
465,11,5,5,6,747.8486458333333
466,33,11,25,8,718.9243555555556
467,16,6,10,6,3434.727708333334
468,9,5,5,4,1059.0524305555555
469,9,4,6,3,1181.3815416666666
470,24,5,19,5,286.05335
471,37,8,31,6,613.1770234375
472,44,6,36,8,645.577806988536
473,14,4,10,4,831.141388888889
474,40,4,24,16,155.46117644862605
475,102,6,51,51,44.0034233079806
476,66,7,62,4,830.2153328322912
477,27,8,16,11,567.0921395502645
480,120,13,59,61,161.90601512703992
481,18,4,13,5,667.155619212963
482,47,6,42,5,877.1764264770724
483,11,4,6,5,506.4044861111111
485,6,4,4,2,252.65298611111112
486,7,3,4,3,1646.997986111111
487,332,72,166,166,94.62168123196248
489,6,2,4,2,64.31703703703704
490,18,6,11,7,15.561855709876541
491,3,2,2,1,227.79305555555555
492,13,6,7,6,339.2754722222222
493,326,31,158,168,143.96684247025607
494,10,1,6,4,796.7191666666666
495,8,3,5,3,879.4670833333333
496,152,17,123,29,181.94181545024506
498,34,8,17,17,97.61540476190476
500,262,16,184,78,203.87044552819864
501,13,4,6,7,247.2925659722222
503,19,8,10,9,291.2213095238095
504,30,8,18,12,465.612337962963
505,45,3,34,11,108.9679853128991
506,28,5,13,15,340.14250000000004
508,46,12,25,21,188.34581659397
509,34,9,19,15,238.24574382716048
510,27,8,20,7,2522.024476273148
511,2,1,1,1,2532.00625
512,51,12,31,20,788.9187499999998
515,23,9,12,11,44.524935699588475
516,2,1,1,1,2603.860416666667
517,413,45,214,199,121.84235337531511
518,13,2,10,3,1265.58203125
519,5,2,4,1,2413.2907638888887
520,18,6,7,11,407.8486774691358
521,8,3,4,4,236.00875
522,907,18,478,429,33.40283521989334
523,21,5,13,8,788.4852768518518
524,4,2,2,2,965.7473611111111
525,23,6,12,11,235.54659722222218
526,107,18,66,41,83.63839317558298
527,27,6,14,13,353.8995607363315
528,20,7,14,6,178.18418672839505
529,62,14,26,36,311.4350262266944
530,98,10,48,50,272.07694648175897
531,2,1,1,1,4859.999861111111
532,14,6,8,6,1264.3918055555555
533,12,4,6,6,1370.733420138889
534,19,5,17,2,451.14459259259263
536,33,9,13,20,421.0420197677837
537,6,4,4,2,174.5666666666667
538,263,14,257,6,648.5855461320976
540,8,2,3,5,557.8651620370371
541,56,11,41,15,44.735394901394905
542,22,3,11,11,445.0125154320988
544,140,11,120,20,298.7679170512105
545,10,7,8,2,128.52634259259258
547,40,7,20,20,332.4119107142857
548,26,10,13,13,191.06322546296298
550,11,3,6,5,32.87251543209876
551,74,19,45,29,75.11071183324472
553,1129,50,589,540,260.31885723556763
554,7,4,4,3,1767.2534259259257
555,27,7,17,10,709.488117063492
556,12,4,10,2,952.8857407407407
557,5,2,3,2,591.9080555555556
558,15,5,9,6,1278.6840055555554
559,3,2,2,1,840.5
560,8,3,4,4,3.6066550925925926
561,22,11,14,8,2708.9427983539094
562,206,8,186,20,136.89007415413232
565,175,10,95,80,420.4469548133545
566,42,14,25,17,385.92434523809527
567,41,12,19,22,174.40389660493827
568,10,4,6,4,730.9523148148149
569,3,2,2,1,4369.71125
570,10,3,8,2,119.78274691358024
572,41,12,17,24,556.4014530974426
573,19,12,17,2,1021.2806458333332
574,2,1,1,1,3541.5959722222224
575,5,2,3,2,608.2363425925926
576,195,26,110,85,194.4877243394398
