identifier,Number of trading,Number of trading symbol,Number of buy,Number of sell,Trading frequency,Cluster
1839,12,8,10,2,1572.2054,Cluster 0
1860,8,4,4,4,1943.623,Cluster 0
1893,13,4,10,3,1344.7289,Cluster 0
1918,16,10,15,1,1730.2441,Cluster 0
1925,8,3,6,2,1267.9866,Cluster 0
1947,9,5,6,3,1772.2185,Cluster 0
1967,8,4,5,3,1355.6667,Cluster 0
1969,11,9,10,1,1620.3715,Cluster 0
1978,5,3,3,2,1226.7274,Cluster 0
2026,8,5,6,2,1244.193,Cluster 0
2027,2,1,1,1,1523.4999,Cluster 0
2160,7,3,4,3,1317.0634,Cluster 0
2283,5,3,4,1,1146.1433,Cluster 0
