identifier,Number of trading,Number of trading symbol,Number of buy,Number of sell,Trading frequency,Cluster
1,3,1,2,1,55.394352,Cluster 3
3,11,4,6,5,965.51984,Cluster 3
7,2,1,1,1,47.352917,Cluster 3
8,55,4,52,3,615.07227,Cluster 3
10,551,9,275,276,26.83296,Cluster 3
11,38,11,21,17,385.07874,Cluster 3
12,58,9,40,18,470.21075,Cluster 3
15,20,5,14,6,219.45302,Cluster 3
16,8,4,4,4,36.212082,Cluster 3
18,17,4,12,5,336.31277,Cluster 3
19,16,4,8,8,1079.7682,Cluster 3
20,51,19,28,23,104.37344,Cluster 3
21,186,24,109,77,390.52716,Cluster 3
23,35,12,19,16,199.0773,Cluster 3
25,41,10,25,16,251.7189,Cluster 3
26,37,7,31,6,533.223,Cluster 3
27,2,1,1,1,72.000694,Cluster 3
29,66,3,51,15,213.69238,Cluster 3
30,297,13,152,145,49.70117,Cluster 3
33,82,12,43,39,1051.2427,Cluster 3
39,43,13,26,17,1006.5428,Cluster 3
40,64,8,53,11,631.8712,Cluster 3
41,9,3,4,5,263.1932,Cluster 3
42,17,10,9,8,830.08563,Cluster 3
43,111,7,81,30,105.86766,Cluster 3
45,8,2,5,3,130.13063,Cluster 3
47,28,7,17,11,25.600407,Cluster 3
49,3,1,2,1,0.007222222,Cluster 3
50,2,1,1,1,0.27944446,Cluster 3
51,24,5,14,10,89.92549,Cluster 3
55,30,7,18,12,265.51825,Cluster 3
56,29,6,14,15,70.20759,Cluster 3
58,59,2,55,4,319.39752,Cluster 3
61,31,13,17,14,214.46365,Cluster 3
62,53,11,44,9,233.06935,Cluster 3
64,33,10,31,2,645.7783,Cluster 3
66,22,4,16,6,845.8603,Cluster 3
68,127,7,124,3,386.01486,Cluster 3
69,8,3,4,4,265.9783,Cluster 3
70,13,6,7,6,643.32623,Cluster 3
71,45,25,31,14,375.32394,Cluster 3
73,12,3,7,5,687.3349,Cluster 3
78,26,7,21,5,765.9538,Cluster 3
81,34,9,17,17,61.338882,Cluster 3
82,19,7,11,8,943.3648,Cluster 3
85,72,9,62,10,645.2667,Cluster 3
86,153,18,80,73,210.16872,Cluster 3
88,56,23,36,20,1164.0994,Cluster 3
91,17,9,10,7,973.8301,Cluster 3
93,25,5,15,10,492.1097,Cluster 3
94,229,21,118,111,63.252285,Cluster 3
95,72,16,44,28,518.4886,Cluster 3
96,48,14,25,23,536.805,Cluster 3
97,51,13,31,20,596.9944,Cluster 3
98,4,2,2,2,271.87112,Cluster 3
100,404,22,248,156,153.88185,Cluster 3
101,19,4,13,6,440.73727,Cluster 3
107,25,1,12,13,85.50996,Cluster 3
108,3,2,2,1,23.436388,Cluster 3
110,380,25,190,190,136.55513,Cluster 3
111,20,7,10,10,561.8007,Cluster 3
112,13,8,9,4,957.9027,Cluster 3
113,285,21,229,56,104.094795,Cluster 3
114,7,4,5,2,76.83611,Cluster 3
116,16,4,12,4,438.3185,Cluster 3
117,380,17,338,42,113.57727,Cluster 3
118,37,9,22,15,298.29004,Cluster 3
119,30,7,22,8,1071.5212,Cluster 3
120,160,14,80,80,149.39178,Cluster 3
122,20,5,14,6,78.185326,Cluster 3
123,168,23,111,57,303.4171,Cluster 3
124,83,16,46,37,97.12826,Cluster 3
126,216,22,147,69,96.39426,Cluster 3
127,14,4,7,7,354.96155,Cluster 3
129,126,10,93,33,342.24792,Cluster 3
130,139,16,84,55,16.083029,Cluster 3
133,26,10,15,11,268.19183,Cluster 3
134,134,29,80,54,169.65291,Cluster 3
135,43,12,19,24,435.45554,Cluster 3
136,52,8,41,11,206.24397,Cluster 3
137,205,13,180,25,163.90541,Cluster 3
138,7,3,4,3,173.342,Cluster 3
139,71,12,50,21,324.49832,Cluster 3
140,28,4,21,7,67.994514,Cluster 3
141,454,20,266,188,178.13702,Cluster 3
142,92,17,56,36,787.3441,Cluster 3
143,4,3,3,1,576.61725,Cluster 3
144,38,10,27,11,390.52374,Cluster 3
145,35,15,18,17,525.8652,Cluster 3
146,103,20,58,45,112.01146,Cluster 3
148,134,13,70,64,63.816875,Cluster 3
149,28,9,27,1,1057.4897,Cluster 3
150,32,6,16,16,9.178472,Cluster 3
152,7,5,6,1,54.621666,Cluster 3
154,525,21,481,44,237.5196,Cluster 3
155,17,9,11,6,424.09897,Cluster 3
162,50,14,26,24,213.51135,Cluster 3
163,80,14,48,32,676.2928,Cluster 3
165,130,23,75,55,132.45236,Cluster 3
168,97,9,92,5,627.5057,Cluster 3
169,20,11,12,8,521.4324,Cluster 3
170,33,4,29,4,654.16254,Cluster 3
171,111,6,102,9,619.24976,Cluster 3
172,27,5,20,7,509.159,Cluster 3
173,14,6,7,7,1032.9271,Cluster 3
174,27,10,14,13,764.23065,Cluster 3
175,15,2,7,8,257.6266,Cluster 3
176,2,1,1,1,0.5397222,Cluster 3
178,8,4,4,4,519.841,Cluster 3
181,208,8,184,24,177.47594,Cluster 3
182,322,33,166,156,122.314545,Cluster 3
184,28,4,21,7,318.94873,Cluster 3
185,6,3,3,3,759.34717,Cluster 3
186,61,20,30,31,213.36612,Cluster 3
187,66,14,28,38,345.86337,Cluster 3
188,237,35,129,108,95.024864,Cluster 3
190,38,6,24,14,278.45392,Cluster 3
191,40,8,37,3,759.85895,Cluster 3
193,17,7,9,8,393.14297,Cluster 3
194,44,5,36,8,336.168,Cluster 3
195,309,18,227,82,100.3868,Cluster 3
196,21,9,11,10,876.1186,Cluster 3
197,174,17,128,46,124.3296,Cluster 3
199,8,2,5,3,62.135834,Cluster 3
200,152,35,81,71,316.88882,Cluster 3
201,8,2,4,4,0.059907407,Cluster 3
202,20,4,14,6,407.0405,Cluster 3
203,14,3,8,6,323.8252,Cluster 3
209,46,10,27,19,354.72073,Cluster 3
210,9,3,6,3,538.9401,Cluster 3
213,12,5,6,6,160.67114,Cluster 3
214,337,17,258,79,223.07458,Cluster 3
215,19,4,9,10,115.89383,Cluster 3
216,142,16,110,32,196.82353,Cluster 3
217,17,4,12,5,459.09128,Cluster 3
218,27,10,16,11,71.781204,Cluster 3
220,10,5,9,1,11.334248,Cluster 3
223,5,2,3,2,555.9438,Cluster 3
227,11,4,6,5,684.9597,Cluster 3
228,137,25,72,65,37.693924,Cluster 3
229,39,5,20,19,490.0296,Cluster 3
230,13,4,7,6,711.4503,Cluster 3
232,14,3,8,6,258.07388,Cluster 3
233,31,7,16,15,208.18152,Cluster 3
234,10,4,5,5,103.10627,Cluster 3
236,10,4,5,5,900.47797,Cluster 3
238,21,10,11,10,20.615301,Cluster 3
240,82,10,70,12,542.1137,Cluster 3
241,6,4,4,2,0.15222222,Cluster 3
242,38,12,17,21,485.04196,Cluster 3
244,16,3,5,11,93.91363,Cluster 3
247,60,14,32,28,276.81927,Cluster 3
248,19,8,10,9,744.85376,Cluster 3
249,130,7,67,63,88.4885,Cluster 3
250,4,2,2,2,12.719722,Cluster 3
251,43,10,26,17,301.35672,Cluster 3
252,53,13,26,27,292.408,Cluster 3
254,102,13,51,51,24.384716,Cluster 3
257,16,2,11,5,22.198606,Cluster 3
258,304,11,160,144,154.98413,Cluster 3
259,13,2,11,2,23.429653,Cluster 3
261,29,5,16,13,512.97546,Cluster 3
263,7,3,3,4,581.5284,Cluster 3
264,18,4,10,8,171.9387,Cluster 3
267,3,2,2,1,1019.6468,Cluster 3
269,12,2,11,1,224.78914,Cluster 3
270,5,1,4,1,359.57104,Cluster 3
271,7,3,4,3,1023.0315,Cluster 3
272,4,2,2,2,12.259375,Cluster 3
273,470,18,415,55,203.97191,Cluster 3
275,4,1,2,2,156.00659,Cluster 3
278,13,2,9,4,559.00635,Cluster 3
280,79,14,40,39,145.82301,Cluster 3
281,146,7,87,59,113.19371,Cluster 3
282,56,9,32,24,23.330938,Cluster 3
283,24,6,10,14,132.93477,Cluster 3
284,4,3,3,1,1.0216666,Cluster 3
285,42,13,23,19,611.82007,Cluster 3
288,28,7,21,7,243.60616,Cluster 3
289,177,47,154,23,930.20886,Cluster 3
290,74,13,48,26,1015.21136,Cluster 3
