identifier,Number of trading,Number of trading symbol,Number of buy,Number of sell,Trading frequency,Cluster
292,84,9,69,15,256.39047,Cluster 3
295,36,6,29,7,509.62192,Cluster 3
296,22,11,14,8,297.33716,Cluster 3
297,50,9,46,4,883.78894,Cluster 3
298,58,9,38,20,969.7977,Cluster 3
299,336,16,215,121,333.05923,Cluster 3
300,19,6,11,8,371.32483,Cluster 3
302,30,4,16,14,160.83896,Cluster 3
303,5,2,3,2,108.30125,Cluster 3
304,12,5,7,5,96.484985,Cluster 3
306,240,25,172,68,238.38055,Cluster 3
307,37,11,21,16,349.60388,Cluster 3
308,8,2,4,4,9.125556,Cluster 3
309,31,7,22,9,140.89017,Cluster 3
311,182,20,138,44,468.03152,Cluster 3
312,71,9,31,40,247.20273,Cluster 3
313,9,2,5,4,444.12106,Cluster 3
314,228,27,117,111,236.2218,Cluster 3
315,16,4,14,2,344.62012,Cluster 3
316,30,3,19,11,500.302,Cluster 3
318,68,7,67,1,741.9875,Cluster 3
319,126,16,71,55,524.3638,Cluster 3
320,7,3,4,3,834.78674,Cluster 3
322,20,4,9,11,398.3247,Cluster 3
323,218,15,118,100,151.8897,Cluster 3
324,16,7,15,1,637.3305,Cluster 3
325,71,20,52,19,462.89978,Cluster 3
326,30,6,22,8,146.6922,Cluster 3
327,32,9,17,15,893.1372,Cluster 3
328,33,15,21,12,353.30737,Cluster 3
331,4,2,3,1,847.44794,Cluster 3
332,20,3,9,11,577.8649,Cluster 3
333,23,7,13,10,812.0083,Cluster 3
334,148,11,84,64,256.63184,Cluster 3
335,3,2,2,1,935.9999,Cluster 3
336,19,7,10,9,167.1459,Cluster 3
339,175,39,107,68,115.64351,Cluster 3
340,54,8,32,22,58.00765,Cluster 3
341,36,14,25,11,633.8361,Cluster 3
342,45,15,32,13,236.50336,Cluster 3
343,38,6,21,17,198.0438,Cluster 3
344,13,5,7,6,466.488,Cluster 3
347,50,13,27,23,10.178575,Cluster 3
348,11,4,7,4,440.9998,Cluster 3
349,2,1,1,1,480.00015,Cluster 3
350,13,3,7,6,172.51302,Cluster 3
352,55,15,25,30,108.88411,Cluster 3
354,7,3,3,4,193.77148,Cluster 3
355,31,6,17,14,466.42926,Cluster 3
356,297,34,223,74,309.19928,Cluster 3
357,13,4,7,6,242.82959,Cluster 3
358,202,38,118,84,107.00614,Cluster 3
359,107,12,87,20,443.86746,Cluster 3
362,151,37,82,69,710.15894,Cluster 3
363,102,13,57,45,135.203,Cluster 3
365,85,13,48,37,26.707994,Cluster 3
366,246,17,130,116,137.79886,Cluster 3
368,43,10,33,10,560.93134,Cluster 3
369,124,15,62,62,20.618996,Cluster 3
370,39,6,23,16,276.60632,Cluster 3
371,2,1,1,1,12.000139,Cluster 3
372,9,4,5,4,14.386262,Cluster 3
377,22,6,12,10,246.99757,Cluster 3
378,132,9,85,47,581.64716,Cluster 3
379,113,8,60,53,226.8768,Cluster 3
381,14,5,12,2,132.77283,Cluster 3
382,12,3,9,3,438.05933,Cluster 3
383,36,8,18,18,112.77604,Cluster 3
384,14,4,7,7,624.694,Cluster 3
385,69,13,36,33,213.30984,Cluster 3
387,34,6,28,6,458.14365,Cluster 3
390,29,4,27,2,454.113,Cluster 3
391,45,11,22,23,131.34099,Cluster 3
392,41,10,38,3,868.00824,Cluster 3
393,419,30,249,170,54.626392,Cluster 3
394,4,2,2,2,0.40888888,Cluster 3
395,24,6,15,9,282.35587,Cluster 3
396,13,4,8,5,590.88104,Cluster 3
398,52,10,28,24,146.16966,Cluster 3
399,23,8,15,8,611.9428,Cluster 3
400,263,20,132,131,308.97296,Cluster 3
401,3,2,2,1,516.36584,Cluster 3
402,339,28,173,166,78.64863,Cluster 3
403,6,3,3,3,222.64357,Cluster 3
404,11,5,7,4,864.8394,Cluster 3
405,110,9,68,42,402.85284,Cluster 3
406,47,3,24,23,92.8142,Cluster 3
407,101,29,61,40,321.57358,Cluster 3
408,325,38,184,141,298.71765,Cluster 3
409,304,30,154,150,41.120766,Cluster 3
410,2,1,1,1,636.0,Cluster 3
411,350,29,172,178,268.7915,Cluster 3
412,549,16,320,229,333.5279,Cluster 3
414,487,22,280,207,222.32944,Cluster 3
416,43,11,22,21,155.26355,Cluster 3
418,138,17,70,68,76.85055,Cluster 3
419,42,11,23,19,332.83484,Cluster 3
420,364,20,277,87,227.57202,Cluster 3
422,219,30,198,21,370.68323,Cluster 3
423,18,6,9,9,100.939445,Cluster 3
424,13,4,10,3,984.37714,Cluster 3
425,81,16,36,45,85.74658,Cluster 3
426,32,4,28,4,928.7435,Cluster 3
427,338,26,170,168,68.96379,Cluster 3
428,22,8,11,11,119.074066,Cluster 3
429,17,8,9,8,192.91394,Cluster 3
432,6,2,3,3,226.97278,Cluster 3
434,83,12,69,14,613.8506,Cluster 3
435,21,6,19,2,177.74312,Cluster 3
436,69,20,36,33,118.71544,Cluster 3
437,88,22,47,41,250.33601,Cluster 3
438,22,7,12,10,688.33813,Cluster 3
439,269,28,146,123,76.796906,Cluster 3
440,42,15,23,19,877.4629,Cluster 3
441,39,11,27,12,327.6256,Cluster 3
444,174,32,81,93,137.65,Cluster 3
446,6,3,4,2,138.43892,Cluster 3
447,3,2,2,1,1043.4976,Cluster 3
448,266,31,153,113,288.98184,Cluster 3
451,76,17,51,25,663.0594,Cluster 3
452,38,13,19,19,308.31985,Cluster 3
453,77,13,37,40,33.42206,Cluster 3
454,28,9,18,10,189.32858,Cluster 3
455,98,14,72,26,228.74449,Cluster 3
459,278,14,160,118,191.34537,Cluster 3
462,155,17,77,78,550.1216,Cluster 3
463,39,11,20,19,82.596695,Cluster 3
464,167,10,84,83,60.669483,Cluster 3
465,11,5,5,6,747.84863,Cluster 3
466,33,11,25,8,718.9244,Cluster 3
468,9,5,5,4,1059.0525,Cluster 3
470,24,5,19,5,286.05334,Cluster 3
471,37,8,31,6,613.177,Cluster 3
472,44,6,36,8,645.5778,Cluster 3
473,14,4,10,4,831.1414,Cluster 3
474,40,4,24,16,155.46118,Cluster 3
475,102,6,51,51,44.00342,Cluster 3
476,66,7,62,4,830.21533,Cluster 3
477,27,8,16,11,567.09216,Cluster 3
480,120,13,59,61,161.90602,Cluster 3
481,18,4,13,5,667.15564,Cluster 3
482,47,6,42,5,877.17645,Cluster 3
483,11,4,6,5,506.40448,Cluster 3
485,6,4,4,2,252.65298,Cluster 3
489,6,2,4,2,64.31704,Cluster 3
490,18,6,11,7,15.561855,Cluster 3
491,3,2,2,1,227.79306,Cluster 3
492,13,6,7,6,339.27548,Cluster 3
493,326,31,158,168,143.96684,Cluster 3
494,10,1,6,4,796.7192,Cluster 3
495,8,3,5,3,879.4671,Cluster 3
496,152,17,123,29,181.94182,Cluster 3
498,34,8,17,17,97.6154,Cluster 3
500,262,16,184,78,203.87045,Cluster 3
501,13,4,6,7,247.29257,Cluster 3
503,19,8,10,9,291.2213,Cluster 3
504,30,8,18,12,465.61234,Cluster 3
505,45,3,34,11,108.96799,Cluster 3
506,28,5,13,15,340.1425,Cluster 3
508,46,12,25,21,188.34581,Cluster 3
509,34,9,19,15,238.24574,Cluster 3
512,51,12,31,20,788.91876,Cluster 3
515,23,9,12,11,44.524937,Cluster 3
520,18,6,7,11,407.84866,Cluster 3
521,8,3,4,4,236.00874,Cluster 3
523,21,5,13,8,788.4853,Cluster 3
524,4,2,2,2,965.7474,Cluster 3
525,23,6,12,11,235.5466,Cluster 3
526,107,18,66,41,83.63839,Cluster 3
527,27,6,14,13,353.89957,Cluster 3
528,20,7,14,6,178.18419,Cluster 3
529,62,14,26,36,311.43503,Cluster 3
530,98,10,48,50,272.07693,Cluster 3
534,19,5,17,2,451.1446,Cluster 3
536,33,9,13,20,421.04202,Cluster 3
537,6,4,4,2,174.56667,Cluster 3
538,263,14,257,6,648.5856,Cluster 3
540,8,2,3,5,557.8652,Cluster 3
541,56,11,41,15,44.735394,Cluster 3
542,22,3,11,11,445.0125,Cluster 3
544,140,11,120,20,298.7679,Cluster 3
545,10,7,8,2,128.52634,Cluster 3
547,40,7,20,20,332.4119,Cluster 3
548,26,10,13,13,191.06323,Cluster 3
550,11,3,6,5,32.872517,Cluster 3
551,74,19,45,29,75.11071,Cluster 3
555,27,7,17,10,709.4881,Cluster 3
556,12,4,10,2,952.88574,Cluster 3
557,5,2,3,2,591.9081,Cluster 3
559,3,2,2,1,840.5,Cluster 3
560,8,3,4,4,3.6066551,Cluster 3
562,206,8,186,20,136.89008,Cluster 3
565,175,10,95,80,420.44696,Cluster 3
566,42,14,25,17,385.92435,Cluster 3
567,41,12,19,22,174.4039,Cluster 3
568,10,4,6,4,730.95233,Cluster 3
570,10,3,8,2,119.782745,Cluster 3
572,41,12,17,24,556.4014,Cluster 3
573,19,12,17,2,1021.28064,Cluster 3
575,5,2,3,2,608.2363,Cluster 3
576,195,26,110,85,194.48773,Cluster 3
577,15,10,12,3,199.73436,Cluster 3
578,18,4,9,9,102.25312,Cluster 3
579,166,26,119,47,191.1736,Cluster 3
580,40,6,28,12,915.26526,Cluster 3
581,50,12,26,24,514.42334,Cluster 3
583,17,8,9,8,211.70715,Cluster 3
584,19,8,10,9,268.70422,Cluster 3
585,3,1,2,1,64.0,Cluster 3
586,8,2,7,1,1031.986,Cluster 3
588,2,1,1,1,0.103194445,Cluster 3
589,76,20,42,34,2.9963522,Cluster 3
590,42,6,36,6,503.4236,Cluster 3
591,143,40,72,71,310.875,Cluster 3
592,14,4,7,7,121.84115,Cluster 3
593,59,9,25,34,336.47202,Cluster 3
594,5,2,3,2,27.999954,Cluster 3
595,17,6,10,7,197.57732,Cluster 3
597,82,21,45,37,335.21857,Cluster 3
598,69,13,61,8,531.02136,Cluster 3
600,54,8,42,12,628.6265,Cluster 3
601,17,4,9,8,41.726765,Cluster 3
602,80,17,29,51,390.42294,Cluster 3
603,78,7,64,14,578.4924,Cluster 3
604,7,3,4,3,747.26874,Cluster 3
605,11,2,8,3,145.15292,Cluster 3
606,38,17,26,12,931.4024,Cluster 3
607,40,3,31,9,700.9392,Cluster 3
608,18,11,16,2,246.06786,Cluster 3
610,16,4,12,4,982.8082,Cluster 3
613,150,29,76,74,81.30263,Cluster 3
616,36,11,22,14,856.4458,Cluster 3
617,38,15,19,19,32.071465,Cluster 3
618,79,9,42,37,130.57802,Cluster 3
619,171,16,97,74,10.83115,Cluster 3
620,9,4,8,1,1005.88513,Cluster 3
621,7,6,6,1,0.107777774,Cluster 3
622,91,26,57,34,558.8673,Cluster 3
627,17,8,9,8,148.24529,Cluster 3
628,3,2,2,1,156.20805,Cluster 3
629,2,1,1,1,1.1143055,Cluster 3
630,3,1,2,1,0.19481482,Cluster 3
631,21,4,19,2,670.64056,Cluster 3
632,18,5,7,11,841.00604,Cluster 3
633,63,20,33,30,461.84418,Cluster 3
636,10,3,6,4,158.73479,Cluster 3
637,23,8,12,11,127.37971,Cluster 3
638,40,7,22,18,479.38953,Cluster 3
640,5,3,4,1,0.61657405,Cluster 3
643,89,7,50,39,56.50893,Cluster 3
644,19,8,18,1,1157.3175,Cluster 3
645,8,4,4,4,144.23146,Cluster 3
646,34,5,27,7,267.75284,Cluster 3
651,194,36,110,84,399.30655,Cluster 3
652,30,5,16,14,194.07872,Cluster 3
655,92,16,47,45,244.10991,Cluster 3
656,28,4,20,8,604.94135,Cluster 3
657,15,6,8,7,942.1594,Cluster 3
659,19,3,9,10,313.58978,Cluster 3
660,484,19,393,91,175.48273,Cluster 3
661,49,8,47,2,1119.5242,Cluster 3
662,53,8,36,17,657.24335,Cluster 3
663,38,14,22,16,715.4017,Cluster 3
664,209,16,105,104,74.08613,Cluster 3
665,41,14,23,18,168.06352,Cluster 3
666,67,14,39,28,806.8192,Cluster 3
669,40,13,27,13,916.456,Cluster 3
671,32,6,20,12,646.6107,Cluster 3
672,9,3,4,5,721.2234,Cluster 3
673,28,9,15,13,647.658,Cluster 3
674,3,1,2,1,15.826574,Cluster 3
676,24,3,18,6,740.14435,Cluster 3
678,26,11,14,12,566.76843,Cluster 3
679,7,3,4,3,5.86054,Cluster 3
680,15,7,8,7,90.186676,Cluster 3
681,61,17,27,34,2.2172441,Cluster 3
682,17,2,10,7,294.60272,Cluster 3
683,120,13,106,14,446.53613,Cluster 3
684,56,20,31,25,1020.58167,Cluster 3
685,526,26,382,144,44.1494,Cluster 3
687,49,5,26,23,124.21108,Cluster 3
690,7,5,6,1,0.32037038,Cluster 3
693,21,8,14,7,975.3625,Cluster 3
694,57,8,28,29,21.726774,Cluster 3
695,19,9,10,9,556.8902,Cluster 3
696,3,1,2,1,21.924353,Cluster 3
697,48,8,27,21,346.18707,Cluster 3
698,19,3,11,8,102.19018,Cluster 3
699,8,5,7,1,79.94211,Cluster 3
701,13,2,11,2,534.23615,Cluster 3
703,7,4,6,1,0.56722224,Cluster 3
704,148,34,75,73,63.891376,Cluster 3
710,100,26,51,49,506.62665,Cluster 3
712,29,3,26,3,607.6392,Cluster 3
714,32,13,21,11,228.47797,Cluster 3
716,22,9,14,8,337.33954,Cluster 3
719,3,1,2,1,480.07333,Cluster 3
720,318,26,215,103,128.82745,Cluster 3
722,69,19,40,29,260.65726,Cluster 3
723,13,4,9,4,512.4167,Cluster 3
724,2,1,1,1,0.26583335,Cluster 3
725,87,8,64,23,373.6847,Cluster 3
727,40,18,20,20,306.8374,Cluster 3
728,69,16,51,18,797.94415,Cluster 3
729,262,26,149,113,336.53094,Cluster 3
731,3,2,2,1,3.16625,Cluster 3
733,7,4,5,2,11.813426,Cluster 3
734,6,5,5,1,24.134306,Cluster 3
735,22,8,12,10,311.88513,Cluster 3
737,16,6,15,1,1099.7008,Cluster 3
738,5,2,3,2,375.99994,Cluster 3
740,25,12,14,11,693.53705,Cluster 3
741,61,8,49,12,724.43774,Cluster 3
742,9,2,4,5,262.03732,Cluster 3
744,9,2,4,5,509.74036,Cluster 3
747,39,12,20,19,230.45079,Cluster 3
748,35,7,18,17,7.5223556,Cluster 3
749,23,6,12,11,706.31525,Cluster 3
750,33,6,19,14,76.70764,Cluster 3
751,262,6,127,135,75.248116,Cluster 3
752,116,27,64,52,393.54495,Cluster 3
753,258,19,158,100,263.2518,Cluster 3
754,7,3,5,2,361.4928,Cluster 3
757,33,11,17,16,64.64924,Cluster 3
758,26,8,16,10,518.4889,Cluster 3
760,14,3,11,3,730.44653,Cluster 3
761,31,9,17,14,708.1414,Cluster 3
762,2,1,1,1,480.0,Cluster 3
764,2,1,1,1,324.6679,Cluster 3
765,52,7,27,25,580.82947,Cluster 3
767,99,22,50,49,475.15106,Cluster 3
770,47,12,26,21,19.912788,Cluster 3
771,82,5,62,20,380.1498,Cluster 3
773,100,20,53,47,30.127346,Cluster 3
774,13,4,9,4,1012.2981,Cluster 3
775,10,3,9,1,334.1498,Cluster 3
776,131,25,73,58,154.55069,Cluster 3
777,18,6,9,9,522.0093,Cluster 3
778,39,9,22,17,567.1534,Cluster 3
780,28,10,16,12,700.79425,Cluster 3
783,20,4,11,9,557.7946,Cluster 3
784,49,7,41,8,498.5298,Cluster 3
785,74,5,47,27,158.10515,Cluster 3
786,64,16,38,26,391.31497,Cluster 3
787,7,4,5,2,0.8521991,Cluster 3
789,29,10,16,13,132.45648,Cluster 3
792,33,9,17,16,736.396,Cluster 3
796,49,14,26,23,538.21735,Cluster 3
798,41,7,22,19,387.02948,Cluster 3
800,66,16,35,31,288.3485,Cluster 3
801,34,13,17,17,680.0507,Cluster 3
803,3,2,2,1,12.000139,Cluster 3
808,5,3,4,1,29.65007,Cluster 3
809,64,15,26,38,199.1051,Cluster 3
810,196,38,151,45,159.84427,Cluster 3
811,372,11,322,50,229.05247,Cluster 3
812,10,1,8,2,168.11108,Cluster 3
814,19,7,17,2,230.78114,Cluster 3
815,11,3,6,5,634.28503,Cluster 3
816,23,6,17,6,758.61285,Cluster 3
817,27,9,13,14,332.14215,Cluster 3
818,17,8,10,7,367.62988,Cluster 3
821,122,14,112,10,263.49695,Cluster 3
823,50,18,25,25,174.48318,Cluster 3
825,12,4,8,4,646.4112,Cluster 3
826,15,6,11,4,1126.2458,Cluster 3
827,41,18,26,15,773.87744,Cluster 3
828,12,5,6,6,795.6478,Cluster 3
829,26,7,14,12,753.4759,Cluster 3
830,256,20,127,129,45.091778,Cluster 3
834,16,4,11,5,382.2393,Cluster 3
838,219,36,113,106,174.08284,Cluster 3
839,183,8,172,11,128.73897,Cluster 3
840,59,11,33,26,246.73135,Cluster 3
843,5,3,4,1,296.3948,Cluster 3
844,31,9,16,15,102.36307,Cluster 3
845,96,15,49,47,213.68799,Cluster 3
846,54,7,47,7,725.4861,Cluster 3
847,51,11,27,24,259.1143,Cluster 3
848,9,4,7,2,860.27563,Cluster 3
849,287,36,144,143,83.74579,Cluster 3
850,32,16,29,3,225.08621,Cluster 3
851,251,27,137,114,76.59602,Cluster 3
853,19,11,18,1,510.62683,Cluster 3
854,18,8,10,8,903.66364,Cluster 3
856,22,4,12,10,941.32086,Cluster 3
857,21,7,11,10,1092.2456,Cluster 3
858,15,5,9,6,253.07346,Cluster 3
861,159,16,81,78,181.47742,Cluster 3
862,6,5,5,1,0.0725,Cluster 3
863,20,5,10,10,69.292046,Cluster 3
864,8,3,5,3,2.3314815,Cluster 3
865,14,3,8,6,131.79938,Cluster 3
866,54,14,40,14,565.7182,Cluster 3
867,23,7,13,10,10.535099,Cluster 3
869,264,41,134,130,64.075455,Cluster 3
871,30,11,15,15,569.16724,Cluster 3
872,3,1,2,1,80.0,Cluster 3
873,7,6,6,1,0.8601389,Cluster 3
874,88,28,54,34,974.9615,Cluster 3
875,10,4,5,5,90.03196,Cluster 3
876,97,5,79,18,317.7832,Cluster 3
877,2,1,1,1,0.08541667,Cluster 3
878,38,5,34,4,172.96541,Cluster 3
879,4,2,2,2,48.008335,Cluster 3
880,141,33,79,62,502.9405,Cluster 3
882,4,2,2,2,342.25006,Cluster 3
883,46,9,40,6,1028.3259,Cluster 3
885,24,11,14,10,722.9112,Cluster 3
886,47,8,25,22,706.1931,Cluster 3
887,75,20,46,29,17.209904,Cluster 3
888,9,5,8,1,1046.064,Cluster 3
889,6,1,3,3,932.0252,Cluster 3
890,319,29,243,76,168.54335,Cluster 3
891,24,6,18,6,615.9412,Cluster 3
892,16,6,8,8,530.3105,Cluster 3
893,12,5,6,6,893.9101,Cluster 3
894,51,14,26,25,278.56738,Cluster 3
897,16,6,8,8,86.927795,Cluster 3
899,27,6,26,1,935.6249,Cluster 3
901,4,3,3,1,0.091527775,Cluster 3
902,49,14,26,23,309.8669,Cluster 3
903,21,5,11,10,1101.4496,Cluster 3
905,3,2,2,1,72.20861,Cluster 3
910,34,16,31,3,474.06427,Cluster 3
911,17,6,9,8,813.3872,Cluster 3
912,178,43,105,73,311.65997,Cluster 3
913,209,32,86,123,12.295631,Cluster 3
914,8,4,7,1,125.93441,Cluster 3
916,18,3,10,8,243.05547,Cluster 3
917,74,16,45,29,17.638147,Cluster 3
918,96,13,78,18,573.50507,Cluster 3
920,42,7,21,21,158.40988,Cluster 3
921,87,18,47,40,278.49933,Cluster 3
922,24,8,16,8,803.07666,Cluster 3
924,154,34,76,78,105.7263,Cluster 3
925,62,14,51,11,979.23224,Cluster 3
926,16,5,8,8,1.4693241,Cluster 3
928,128,35,126,2,525.81824,Cluster 3
929,9,4,5,4,747.83795,Cluster 3
931,69,10,41,28,465.27533,Cluster 3
932,13,6,7,6,17.658913,Cluster 3
936,436,32,264,172,296.59564,Cluster 3
937,8,2,5,3,81.698006,Cluster 3
941,15,5,9,6,234.54007,Cluster 3
942,84,13,71,13,328.5696,Cluster 3
943,236,8,142,94,105.69762,Cluster 3
944,15,7,8,7,63.067432,Cluster 3
945,310,26,165,145,99.24361,Cluster 3
947,52,7,46,6,179.34929,Cluster 3
