identifier,Number of trading,Number of trading symbol,Number of buy,Number of sell,Trading frequency,Cluster
36,1395,44,816,579,138.17232,Cluster 2
60,1193,56,791,402,229.77145,Cluster 2
87,572,28,352,220,131.93343,Cluster 2
102,2059,36,1764,295,153.09464,Cluster 2
109,2538,32,1652,886,70.22455,Cluster 2
132,1017,12,727,290,46.829,Cluster 2
147,2492,40,1330,1162,237.28902,Cluster 2
179,928,93,475,453,326.78992,Cluster 2
189,633,42,326,307,164.41374,Cluster 2
211,918,47,468,450,169.46904,Cluster 2
235,873,37,504,369,120.28727,Cluster 2
388,543,35,264,279,178.81995,Cluster 2
443,374,42,209,165,226.8922,Cluster 2
487,332,72,166,166,94.62168,Cluster 2
517,413,45,214,199,121.842354,Cluster 2
522,907,18,478,429,33.402836,Cluster 2
553,1129,50,589,540,260.31885,Cluster 2
612,166,70,83,83,145.05081,Cluster 2
626,287,50,170,117,817.4221,Cluster 2
647,1584,30,809,775,56.451115,Cluster 2
648,1216,72,633,583,114.07511,Cluster 2
692,235,47,184,51,603.72205,Cluster 2
702,1140,32,589,551,178.56607,Cluster 2
717,1572,37,838,734,163.92146,Cluster 2
768,568,61,288,280,114.55597,Cluster 2
788,1936,51,1398,538,62.909206,Cluster 2
790,1078,25,581,497,65.199326,Cluster 2
794,458,71,371,87,261.729,Cluster 2
804,1916,110,1058,858,170.7886,Cluster 2
807,545,32,279,266,52.699917,Cluster 2
819,1275,65,649,626,124.001595,Cluster 2
833,1159,47,592,567,128.53049,Cluster 2
898,1980,44,1122,858,189.54485,Cluster 2
900,489,39,251,238,145.7352,Cluster 2
904,2065,48,1227,838,117.674194,Cluster 2
927,1177,30,616,561,73.86063,Cluster 2
934,766,36,543,223,133.43068,Cluster 2
939,553,38,306,247,201.57999,Cluster 2
948,865,24,480,385,151.09288,Cluster 2
958,643,30,369,274,101.477806,Cluster 2
1024,2346,88,1253,1093,77.160225,Cluster 2
1048,2315,154,1171,1144,96.82901,Cluster 2
1124,1026,59,561,465,78.102394,Cluster 2
1184,1935,63,1155,780,93.71655,Cluster 2
1196,636,46,339,297,62.941406,Cluster 2
1209,800,47,402,398,38.520134,Cluster 2
1225,1014,55,562,452,119.59748,Cluster 2
1236,592,50,404,188,30.460222,Cluster 2
1242,416,37,208,208,135.39194,Cluster 2
1243,1913,60,1071,842,97.05623,Cluster 2
1249,781,46,429,352,206.20467,Cluster 2
1254,825,55,449,376,45.228073,Cluster 2
1286,868,40,444,424,69.32135,Cluster 2
1329,1595,41,861,734,110.55329,Cluster 2
1408,691,57,351,340,160.51646,Cluster 2
1417,633,66,341,292,173.12737,Cluster 2
1459,1778,121,1373,405,80.20127,Cluster 2
1474,757,50,416,341,86.964165,Cluster 2
1504,550,33,322,228,238.90567,Cluster 2
1517,2052,47,1121,931,101.63746,Cluster 2
1549,403,38,336,67,184.20401,Cluster 2
1555,759,35,379,380,144.39644,Cluster 2
1557,508,62,279,229,155.04619,Cluster 2
1573,477,46,287,190,213.02466,Cluster 2
1607,821,32,459,362,88.76977,Cluster 2
1629,2277,90,1429,848,58.79595,Cluster 2
1646,1387,46,727,660,45.31915,Cluster 2
1648,635,36,402,233,68.60125,Cluster 2
1658,209,47,104,105,101.60813,Cluster 2
1741,549,46,398,151,246.58035,Cluster 2
1743,788,28,397,391,89.39201,Cluster 2
1744,819,49,456,363,118.604355,Cluster 2
1760,1489,67,902,587,58.503036,Cluster 2
1772,984,54,483,501,80.85064,Cluster 2
1779,898,48,453,445,77.99007,Cluster 2
1792,1977,57,1094,883,123.17955,Cluster 2
1798,511,35,262,249,65.5961,Cluster 2
1804,219,48,117,102,242.39844,Cluster 2
1823,1581,40,768,813,67.79447,Cluster 2
1828,711,46,375,336,72.17247,Cluster 2
1852,391,50,207,184,71.76935,Cluster 2
1855,245,47,123,122,98.845474,Cluster 2
1911,1531,15,1098,433,28.178112,Cluster 2
1952,566,106,313,253,102.75868,Cluster 2
1997,1206,35,798,408,90.68691,Cluster 2
2002,1444,39,764,680,82.43634,Cluster 2
2055,182,48,109,73,161.70735,Cluster 2
2077,827,83,413,414,73.73158,Cluster 2
2096,560,56,277,283,61.24458,Cluster 2
2107,342,47,186,156,62.913612,Cluster 2
2115,437,44,238,199,98.679306,Cluster 2
2139,285,65,142,143,69.3947,Cluster 2
2166,585,45,337,248,86.72629,Cluster 2
2190,755,55,389,366,46.530594,Cluster 2
2198,1289,49,839,450,52.75421,Cluster 2
2211,683,55,422,261,51.45705,Cluster 2
2270,482,55,298,184,67.9844,Cluster 2
2276,391,62,206,185,62.8462,Cluster 2
2411,262,48,159,103,26.174099,Cluster 2
2424,261,47,156,105,69.61833,Cluster 2
2440,276,53,138,138,33.188885,Cluster 2
2441,653,61,418,235,57.46258,Cluster 2
2500,634,42,429,205,17.336222,Cluster 2
2528,459,135,296,163,101.8401,Cluster 2
2546,169,83,95,74,78.50058,Cluster 2
2573,619,70,362,257,21.059715,Cluster 2
